symbol,yahoo_symbol,name,series,isin,industry,source,as_of
360ONE,360ONE.NS,360 ONE WAM Ltd.,EQ,INE466L01038,Financial Services,niftyindices_ind_nifty200list,2026-04-29
ABB,ABB.NS,ABB India Ltd.,EQ,INE117A01022,Capital Goods,niftyindices_ind_nifty200list,2026-04-29
ABCAPITAL,ABCAPITAL.NS,Aditya Birla Capital Ltd.,EQ,INE674K01013,Financial Services,niftyindices_ind_nifty200list,2026-04-29
ADANIENSOL,ADANIENSOL.NS,Adani Energy Solutions Ltd.,EQ,INE931S01010,Power,niftyindices_ind_nifty200list,2026-04-29
ADANIENT,ADANIENT.NS,Adani Enterprises Ltd.,EQ,INE423A01024,Metals & Mining,niftyindices_ind_nifty200list,2026-04-29
ADANIGREEN,ADANIGREEN.NS,Adani Green Energy Ltd.,EQ,INE364U01010,Power,niftyindices_ind_nifty200list,2026-04-29
ADANIPORTS,ADANIPORTS.NS,Adani Ports and Special Economic Zone Ltd.,EQ,INE742F01042,Services,niftyindices_ind_nifty200list,2026-04-29
ADANIPOWER,ADANIPOWER.NS,Adani Power Ltd.,EQ,INE814H01029,Power,niftyindices_ind_nifty200list,2026-04-29
ALKEM,ALKEM.NS,Alkem Laboratories Ltd.,EQ,INE540L01014,Healthcare,niftyindices_ind_nifty200list,2026-04-29
AMBUJACEM,AMBUJACEM.NS,Ambuja Cements Ltd.,EQ,INE079A01024,Construction Materials,niftyindices_ind_nifty200list,2026-04-29
APLAPOLLO,APLAPOLLO.NS,APL Apollo Tubes Ltd.,EQ,INE702C01027,Capital Goods,niftyindices_ind_nifty200list,2026-04-29
APOLLOHOSP,APOLLOHOSP.NS,Apollo Hospitals Enterprise Ltd.,EQ,INE437A01024,Healthcare,niftyindices_ind_nifty200list,2026-04-29
ASHOKLEY,ASHOKLEY.NS,Ashok Leyland Ltd.,EQ,INE208A01029,Capital Goods,niftyindices_ind_nifty200list,2026-04-29
ASIANPAINT,ASIANPAINT.NS,Asian Paints Ltd.,EQ,INE021A01026,Consumer Durables,niftyindices_ind_nifty200list,2026-04-29
ASTRAL,ASTRAL.NS,Astral Ltd.,EQ,INE006I01046,Capital Goods,niftyindices_ind_nifty200list,2026-04-29
ATGL,ATGL.NS,Adani Total Gas Ltd.,EQ,INE399L01023,Oil Gas & Consumable Fuels,niftyindices_ind_nifty200list,2026-04-29
