symbol,yahoo_symbol,name,series,isin,industry,source,as_of
ADFFOODS,ADFFOODS.NS,ADF Foods Limited,EQ,INE982B01027,,local_data_nse_equity_list,2026-04-29
ADL,ADL.NS,Archidply Decor Limited,EQ,INE0CHO01012,,local_data_nse_equity_list,2026-04-29
ADOR,ADOR.NS,Ador Welding Limited,EQ,INE045A01017,,local_data_nse_equity_list,2026-04-29
ADROITINFO,ADROITINFO.NS,Adroit Infotech Limited,EQ,INE737B01033,,local_data_nse_equity_list,2026-04-29
ADSL,ADSL.NS,Allied Digital Services Limited,EQ,INE102I01027,,local_data_nse_equity_list,2026-04-29
ADVAIT,ADVAIT.NS,Advait Energy Transitions Limited,EQ,INE0ALI01010,,local_data_nse_equity_list,2026-04-29
ADVANCE,ADVANCE.NS,Advance Agrolife Limited,EQ,INE1B0W01010,,local_data_nse_equity_list,2026-04-29
ADVANIHOTR,ADVANIHOTR.NS,Advani Hotels & Resorts (India) Limited,EQ,INE199C01026,,local_data_nse_equity_list,2026-04-29
ADVENTHTL,ADVENTHTL.NS,Advent Hotels International Limited,EQ,INE28GN01010,,local_data_nse_equity_list,2026-04-29
ADVENZYMES,ADVENZYMES.NS,Advanced Enzyme Technologies Limited,EQ,INE837H01020,,local_data_nse_equity_list,2026-04-29
AEGISLOG,AEGISLOG.NS,Aegis Logistics Limited,EQ,INE208C01025,,local_data_nse_equity_list,2026-04-29
AEGISVOPAK,AEGISVOPAK.NS,Aegis Vopak Terminals Limited,EQ,INE0INX01018,,local_data_nse_equity_list,2026-04-29
AEPL,AEPL.NS,Artemis Electricals and Projects Limited,BE,INE757T01025,,local_data_nse_equity_list,2026-04-29
AEQUS,AEQUS.NS,Aequs Limited,EQ,INE947N01017,,local_data_nse_equity_list,2026-04-29
AEROENTER,AEROENTER.NS,Aeroflex Enterprises Limited,EQ,INE065D01027,,local_data_nse_equity_list,2026-04-29
AEROFLEX,AEROFLEX.NS,Aeroflex Industries Limited,EQ,INE024001021,,local_data_nse_equity_list,2026-04-29
AERONEU,AERONEU.NS,Aeroflex Neu Limited,EQ,INE035801013,,local_data_nse_equity_list,2026-04-29
