symbol,yahoo_symbol,name,series,isin,listed_on
AEPL,AEPL.NS,Artemis Electricals and Projects Limited,BE,INE757T01025,12-MAR-2026
AEQUS,AEQUS.NS,Aequs Limited,EQ,INE947N01017,10-DEC-2025
AEROENTER,AEROENTER.NS,Aeroflex Enterprises Limited,EQ,INE065D01027,21-NOV-2022
AEROFLEX,AEROFLEX.NS,Aeroflex Industries Limited,EQ,INE024001021,31-AUG-2023
AERONEU,AERONEU.NS,Aeroflex Neu Limited,EQ,INE035801013,12-JAN-2023
AETHER,AETHER.NS,Aether Industries Limited,EQ,INE0BWX01014,03-JUN-2022
AFCONS,AFCONS.NS,Afcons Infrastructure Limited,EQ,INE101I01011,04-NOV-2024
AFFLE,AFFLE.NS,Affle 3i Limited,EQ,INE00WC01027,08-AUG-2019
AFFORDABLE,AFFORDABLE.NS,Affordable Robotic & Automation Limited,BE,INE692Z01013,23-OCT-2024
AFIL,AFIL.NS,Akme Fintrade (India) Limited,BE,INE916Y01027,26-JUN-2024
AFSL,AFSL.NS,Abans Financial Services Limited,EQ,INE00ZE01026,23-DEC-2022
AGARIND,AGARIND.NS,Agarwal Industrial Corporation Limited,EQ,INE204E01012,26-MAY-2014
AGARWALEYE,AGARWALEYE.NS,Dr. Agarwal's Health Care Limited,EQ,INE943P01029,04-FEB-2025
AGI,AGI.NS,AGI Greenpac Limited,EQ,INE415A01038,31-MAY-2000
AGIIL,AGIIL.NS,Agi Infra Limited,EQ,INE976R01033,15-JUL-2024
AGRITECH,AGRITECH.NS,Agri-Tech (India) Limited,EQ,INE449G01018,28-JAN-2014
AGROPHOS,AGROPHOS.NS,Agro Phos India Limited,EQ,INE740V01019,08-MAR-2019
AHCL,AHCL.NS,Anlon Healthcare Limited,EQ,INE0Y8W01025,03-SEP-2025
AHLADA,AHLADA.NS,Ahlada Engineers Limited,EQ,INE00PV01013,28-JAN-2021
AHLEAST,AHLEAST.NS,Asian Hotels (East) Limited,EQ,INE926K01017,11-AUG-2010
AHLUCONT,AHLUCONT.NS,Ahluwalia Contracts (India) Limited,EQ,INE758C01029,14-DEC-2009
AHLWEST,AHLWEST.NS,Asian Hotels (West) Limited,BE,INE915K01010,05-AUG-2010
AIAENG,AIAENG.NS,AIA Engineering Limited,EQ,INE212H01026,14-DEC-2005
AIIL,AIIL.NS,Authum Investment & Infrastructure Limited,EQ,INE206F01022,23-APR-2024
AIRAN,AIRAN.NS,Airan Limited,EQ,INE645W01026,03-MAY-2019
AIROLAM,AIROLAM.NS,Airo Lam limited,EQ,INE801L01010,13-OCT-2021
AJANTPHARM,AJANTPHARM.NS,Ajanta Pharma Limited,EQ,INE031B01049,29-MAY-2000
AJAXENGG,AJAXENGG.NS,Ajax Engineering Limited,EQ,INE274Y01021,17-FEB-2025
