symbol,yahoo_symbol,name,series,isin,listed_on
BANKA,BANKA.NS,Banka BioLoo Limited,BE,INE862Y01015,29-OCT-2020
BANKBARODA,BANKBARODA.NS,Bank of Baroda,EQ,INE028A01039,19-FEB-1997
BANKINDIA,BANKINDIA.NS,Bank of India,EQ,INE084A01016,30-APR-1997
BANSALWIRE,BANSALWIRE.NS,Bansal Wire Industries Limited,EQ,INE0B9K01025,10-JUL-2024
BANSWRAS,BANSWRAS.NS,Banswara Syntex Limited,EQ,INE629D01020,11-APR-2007
BASF,BASF.NS,BASF India Limited,EQ,INE373A01013,17-MAY-1995
BASML,BASML.NS,Bannari Amman Spinning Mills Limited,EQ,INE186H01022,14-NOV-2005
BATAINDIA,BATAINDIA.NS,Bata India Limited,EQ,INE176A01028,18-JUN-2003
BATLIBOI,BATLIBOI.NS,Batliboi Limited,EQ,INE177C01022,20-APR-2026
BAYERCROP,BAYERCROP.NS,Bayer Cropscience Limited,EQ,INE462A01022,08-JAN-2010
BBL,BBL.NS,Bharat Bijlee Limited,EQ,INE464A01036,21-NOV-2006
BBOX,BBOX.NS,Black Box Limited,EQ,INE676A01027,22-JUL-2003
BBTC,BBTC.NS,The Bombay Burmah Trading Corporation Limited,EQ,INE050A01025,03-APR-1996
BBTCL,BBTCL.NS,B&B Triplewall Containers Limited,EQ,INE01EE01011,23-NOV-2022
BCG,BCG.NS,Brightcom Group Limited,BE,INE425B01027,08-MAY-2015
BCLIND,BCLIND.NS,Bcl Industries Limited,EQ,INE412G01024,04-MAR-2021
BCONCEPTS,BCONCEPTS.NS,Brand Concepts Limited,EQ,INE977Y01011,11-JAN-2022
BCPL,BCPL.NS,BCPL Railway Infrastructure Limited,EQ,INE00SW01015,27-MAR-2026
BDL,BDL.NS,Bharat Dynamics Limited,EQ,INE171Z01026,23-MAR-2018
BEARDSELL,BEARDSELL.NS,Beardsell Limited,EQ,INE520H01022,13-JAN-2015
BECTORFOOD,BECTORFOOD.NS,Mrs. Bectors Food Specialities Limited,EQ,INE495P01020,24-DEC-2020
BEDMUTHA,BEDMUTHA.NS,Bedmutha Industries Limited,BE,INE844K01012,14-OCT-2010
BEEKAY,BEEKAY.NS,Beekay Steel Industries Limited,EQ,INE213D01015,20-APR-2026
BEL,BEL.NS,Bharat Electronics Limited,EQ,INE263A01024,19-JUL-2000
BELLACASA,BELLACASA.NS,Bella Casa Fashion & Retail Limited,EQ,INE344T01014,18-JUL-2025
BELRISE,BELRISE.NS,Belrise Industries Limited,EQ,INE894V01022,28-MAY-2025
BEML,BEML.NS,BEML Limited,EQ,INE258A01024,05-NOV-2003
BENGALASM,BENGALASM.NS,Bengal & Assam Company Limited,EQ,INE083K01017,20-APR-2026
BEPL,BEPL.NS,Bhansali Engineering Polymers Limited,EQ,INE922A01025,21-MAR-2005
BERGEPAINT,BERGEPAINT.NS,Berger Paints (I) Limited,EQ,INE463A01038,24-NOV-1999
BESTAGRO,BESTAGRO.NS,Best Agrolife Limited,BE,INE052T01021,10-APR-2024
BETA,BETA.NS,Beta Drugs Limited,EQ,INE351Y01019,24-NOV-2025
BFINVEST,BFINVEST.NS,BF Investment Limited,EQ,INE878K01010,14-JAN-2011
BFUTILITIE,BFUTILITIE.NS,BF Utilities Limited,EQ,INE243D01012,03-MAY-2007
BGRENERGY,BGRENERGY.NS,BGR Energy Systems Limited,BE,INE661I01014,03-JAN-2008
BHAGCHEM,BHAGCHEM.NS,Bhagiradha Chemicals & Industries Limited,EQ,INE414D01027,18-OCT-2021
BHAGERIA,BHAGERIA.NS,Bhageria Industries Limited,EQ,INE354C01027,02-MAR-2016
BHAGYANGR,BHAGYANGR.NS,Bhagyanagar India Limited,EQ,INE458B01036,17-MAY-2017
BHANDARI,BHANDARI.NS,Bhandari Hosiery Exports Limited,EQ,INE474E01029,30-JAN-2017
BHARATCOAL,BHARATCOAL.NS,Bharat Coking Coal Limited,EQ,INE05XR01022,19-JAN-2026
BHARATFORG,BHARATFORG.NS,Bharat Forge Limited,EQ,INE465A01025,04-APR-2003
BHARATGEAR,BHARATGEAR.NS,Bharat Gears Limited,EQ,INE561C01019,03-APR-1996
BHARATRAS,BHARATRAS.NS,Bharat Rasayan Limited,EQ,INE838B01021,11-OCT-1995
BHARATSE,BHARATSE.NS,Bharat Seats Limited,EQ,INE415D01024,24-MAR-2025
BHARATWIRE,BHARATWIRE.NS,Bharat Wire Ropes Limited,EQ,INE316L01019,01-APR-2016
BHARTIARTL,BHARTIARTL.NS,Bharti Airtel Limited,EQ,INE397D01024,15-FEB-2002
BHARTIHEXA,BHARTIHEXA.NS,Bharti Hexacom Limited,EQ,INE343G01021,12-APR-2024
BHEL,BHEL.NS,Bharat Heavy Electricals Limited,EQ,INE257A01026,11-NOV-2003
BI,BI.NS,Bilcare Limited,EQ,INE986A01012,20-APR-2026
BIGBLOC,BIGBLOC.NS,Bigbloc Construction Limited,EQ,INE412U01025,02-SEP-2016
BIKAJI,BIKAJI.NS,Bikaji Foods International Limited,EQ,INE00E101023,16-NOV-2022
BIL,BIL.NS,Bhartiya International Limited,EQ,INE828A01016,12-APR-2000
BIMETAL,BIMETAL.NS,Bimetal Bearings Limited,EQ,INE469A01019,20-APR-2026
BIOCON,BIOCON.NS,Biocon Limited,EQ,INE376G01013,07-APR-2004
BIOFILCHEM,BIOFILCHEM.NS,Biofil Chemicals & Pharmaceuticals Limited,EQ,INE829A01014,12-JUN-1996
BIRLACABLE,BIRLACABLE.NS,Birla Cable Limited,EQ,INE800A01015,06-DEC-1995
BIRLACORPN,BIRLACORPN.NS,Birla Corporation Limited,EQ,INE340A01012,12-APR-1995
BIRLAMONEY,BIRLAMONEY.NS,Aditya Birla Money Limited,EQ,INE865C01022,07-FEB-2008
BIRLANU,BIRLANU.NS,BirlaNu Limited,EQ,INE557A01011,26-APR-1995
BIRLAPREC,BIRLAPREC.NS,Birla Precision Technologies Limited,EQ,INE372E01025,20-APR-2026
BLACKBUCK,BLACKBUCK.NS,BLACKBUCK LIMITED,EQ,INE0UIZ01018,22-NOV-2024
BLACKROSE,BLACKROSE.NS,Black Rose Inds. Limited,EQ,INE761G01016,20-APR-2026
BLAL,BLAL.NS,BEML Land Assets Limited,EQ,INE0N7W01012,19-APR-2023
BLBLIMITED,BLBLIMITED.NS,BLB Limited,BE,INE791A01024,31-MAY-2000
BLIL,BLIL.NS,Balmer Lawrie Investments Limited,EQ,INE525F01025,20-APR-2026
BLISSGVS,BLISSGVS.NS,Bliss GVS Pharma Limited,EQ,INE416D01022,26-JUL-2010
BLKASHYAP,BLKASHYAP.NS,B. L. Kashyap and Sons Limited,EQ,INE350H01032,17-MAR-2006
BLS,BLS.NS,BLS International Services Limited,EQ,INE153T01027,14-JUN-2016
BLSE,BLSE.NS,BLS E-Services Limited,EQ,INE0NLT01010,06-FEB-2024
BLUECHIP,BLUECHIP.NS,Blue Chip India Limited,BE,INE657B01025,12-MAR-1997
BLUECOAST,BLUECOAST.NS,Blue Coast Hotels Limited,EQ,INE472B01011,16-FEB-2000
BLUEDART,BLUEDART.NS,Blue Dart Express Limited,EQ,INE233B01017,12-DEC-2002
BLUEJET,BLUEJET.NS,Blue Jet Healthcare Limited,EQ,INE0KBH01020,01-NOV-2023
BLUESTARCO,BLUESTARCO.NS,Blue Star Limited,EQ,INE472A01039,15-JUN-2000
BLUESTONE,BLUESTONE.NS,BlueStone Jewellery and Lifestyle Limited,EQ,INE304W01038,19-AUG-2025
BLUSPRING,BLUSPRING.NS,Bluspring Enterprises Limited,EQ,INE0U4101014,11-JUN-2025
BMWVENTLTD,BMWVENTLTD.NS,BMW Ventures Limited,EQ,INE965W01036,01-OCT-2025
BNAGROCHEM,BNAGROCHEM.NS,BN Agrochem Limited,EQ,INE00HZ01011,20-APR-2026
BNALTD,BNALTD.NS,B & A Limited,EQ,INE489D01011,20-APR-2026
BODALCHEM,BODALCHEM.NS,Bodal Chemicals Limited,EQ,INE338D01028,22-AUG-2011
BOHRAIND,BOHRAIND.NS,Bohra Industries Limited,BE,INE802W01023,27-OCT-2022
BOMDYEING,BOMDYEING.NS,Bombay Dyeing & Mfg Company Limited,EQ,INE032A01023,26-APR-1995
BONLON,BONLON.NS,Bonlon Industries Limited,EQ,INE0B9A01018,20-FEB-2026
BORANA,BORANA.NS,Borana Weaves Limited,BE,INE16SF01016,27-MAY-2025
BOROLTD,BOROLTD.NS,Borosil Limited,EQ,INE02PY01013,22-JUL-2020
BORORENEW,BORORENEW.NS,BOROSIL RENEWABLES LIMITED,EQ,INE666D01022,25-MAY-2018
BOROSCI,BOROSCI.NS,Borosil Scientific Limited,EQ,INE02L001032,07-JUN-2024
BOSCH-HCIL,BOSCH-HCIL.NS,BOSCH HOME COMFORT INDIA LIMITED,EQ,INE782A01015,03-JAN-2000
BOSCHLTD,BOSCHLTD.NS,Bosch Limited,EQ,INE323A01026,12-MAY-2003
BPCL,BPCL.NS,Bharat Petroleum Corporation Limited,EQ,INE029A01011,13-SEP-1995
BPL,BPL.NS,BPL Limited,EQ,INE110A01019,14-JUN-1995
BRIGADE,BRIGADE.NS,Brigade Enterprises Limited,EQ,INE791I01019,31-DEC-2007
BRIGHOTEL,BRIGHOTEL.NS,Brigade Hotel Ventures Limited,EQ,INE03NU01014,31-JUL-2025
BRITANNIA,BRITANNIA.NS,Britannia Industries Limited,EQ,INE216A01030,05-NOV-1998
BRNL,BRNL.NS,Bharat Road Network Limited,EQ,INE727S01012,18-SEP-2017
BROOKS,BROOKS.NS,Brooks Laboratories Limited,BE,INE650L01011,05-SEP-2011
BSE,BSE.NS,BSE Limited,EQ,INE118H01025,03-FEB-2017
BSHSL,BSHSL.NS,Bombay Super Hybrid Seeds Limited,EQ,INE032Z01020,28-OCT-2020
BSL,BSL.NS,BSL Limited,EQ,INE594B01012,27-JUL-1995
BSOFT,BSOFT.NS,BIRLASOFT LIMITED,EQ,INE836A01035,24-NOV-1999
BTML,BTML.NS,Bodhi Tree Multimedia Limited,EQ,INE0EEJ01023,15-FEB-2023
BTTL,BTTL.NS,Bhilwara Technical Textiles Limited,EQ,INE274K01012,20-APR-2026
BUILDPRO,BUILDPRO.NS,Shankara Buildpro Limited,EQ,INE24OJ01011,09-JAN-2026
BUTTERFLY,BUTTERFLY.NS,Butterfly Gandhimathi Appliances Limited,EQ,INE295F01017,28-APR-2014
BVCL,BVCL.NS,Barak Valley Cements Limited,EQ,INE139I01011,23-NOV-2007
BYKE,BYKE.NS,The Byke Hospitality Ltd,BE,INE319B01014,15-APR-2015
CALSOFT,CALSOFT.NS,California Software Company Limited,EQ,INE526B01014,28-JUN-2000
CAMLINFINE,CAMLINFINE.NS,Camlin Fine Sciences Limited,EQ,INE052I01032,20-JAN-2015
CAMPUS,CAMPUS.NS,Campus Activewear Limited,EQ,INE278Y01022,09-MAY-2022
CAMS,CAMS.NS,Computer Age Management Services Limited,EQ,INE596I01020,07-MAY-2021
CANBK,CANBK.NS,Canara Bank,EQ,INE476A01022,23-DEC-2002
CANFINHOME,CANFINHOME.NS,Can Fin Homes Limited,EQ,INE477A01020,10-MAY-1995
CANHLIFE,CANHLIFE.NS,Canara HSBC Life Insurance Company Limited,EQ,INE01TY01017,17-OCT-2025
CANTABIL,CANTABIL.NS,Cantabil Retail India Limited,EQ,INE068L01024,12-OCT-2010
CAPACITE,CAPACITE.NS,Capacit'e Infraprojects Limited,EQ,INE264T01014,25-SEP-2017
CAPILLARY,CAPILLARY.NS,Capillary Technologies India Limited,EQ,INE0ILV01024,21-NOV-2025
CAPITALSFB,CAPITALSFB.NS,Capital Small Finance Bank Limited,EQ,INE646H01017,14-FEB-2024
CAPLIPOINT,CAPLIPOINT.NS,Caplin Point Laboratories Limited,EQ,INE475E01026,23-JUN-2014
CAPTRUST,CAPTRUST.NS,Capital Trust Limited,BE,INE707C01018,16-JAN-2017
CARBORUNIV,CARBORUNIV.NS,Carborundum Universal Limited,EQ,INE120A01034,03-APR-1996
CARERATING,CARERATING.NS,CARE Ratings Limited,EQ,INE752H01013,26-DEC-2012
CARRARO,CARRARO.NS,Carraro India Limited,EQ,INE0V7W01012,30-DEC-2024
CARTRADE,CARTRADE.NS,Cartrade Tech Limited,EQ,INE290S01011,20-AUG-2021
CARYSIL,CARYSIL.NS,CARYSIL LIMITED,EQ,INE482D01024,14-JAN-2021
CASTROLIND,CASTROLIND.NS,Castrol India Limited,EQ,INE172A01027,14-MAR-2014
CCAVENUE,CCAVENUE.NS,AvenuesAI Limited,EQ,INE483S01020,04-APR-2016
CCCL,CCCL.NS,Consolidated Construction Consortium Limited,EQ,INE429I01024,15-OCT-2007
CCHHL,CCHHL.NS,Country Club Hospitality & Holidays Limited,EQ,INE652F01027,03-FEB-2015
CCL,CCL.NS,CCL Products (India) Limited,EQ,INE421D01022,07-JUN-2004
CDSL,CDSL.NS,Central Depository Services (India) Limited,EQ,INE736A01011,30-JUN-2017
CEATLTD,CEATLTD.NS,CEAT Limited,EQ,INE482A01020,01-FEB-2008
CEIGALL,CEIGALL.NS,Ceigall India Limited,EQ,INE0AG901020,08-AUG-2024
CEINSYS,CEINSYS.NS,Ceinsys Tech Limited,EQ,INE016Q01014,19-FEB-2026
CELEBRITY,CELEBRITY.NS,Celebrity Fashions Limited,EQ,INE185H01016,12-JAN-2006
CELLO,CELLO.NS,Cello World Limited,EQ,INE0LMW01024,06-NOV-2023
CEMPRO,CEMPRO.NS,Cemindia Projects Limited,EQ,INE686A01026,10-FEB-1999
CENTENKA,CENTENKA.NS,Century Enka Limited,EQ,INE485A01015,10-MAY-1995
CENTEXT,CENTEXT.NS,Century Extrusions Limited,EQ,INE281A01026,20-JUL-2004
CENTRALBK,CENTRALBK.NS,Central Bank of India,EQ,INE483A01010,21-AUG-2007
CENTRUM,CENTRUM.NS,Centrum Capital Limited,EQ,INE660C01027,04-APR-2018
CENTUM,CENTUM.NS,Centum Electronics Limited,EQ,INE320B01020,05-OCT-2007
CENTURYPLY,CENTURYPLY.NS,Century Plyboards (India) Limited,EQ,INE348B01021,23-MAR-2006
CERA,CERA.NS,Cera Sanitaryware Limited,EQ,INE739E01017,02-NOV-2007
CEREBRAINT,CEREBRAINT.NS,Cerebra Integrated Technologies Limited,BZ,INE345B01019,26-JUN-2013
CESC,CESC.NS,CESC Limited,EQ,INE486A01021,08-FEB-1995
CEWATER,CEWATER.NS,Concord Enviro Systems Limited,EQ,INE037Z01029,27-DEC-2024
CGCL,CGCL.NS,Capri Global Capital Limited,EQ,INE180C01042,29-OCT-2010
CGPOWER,CGPOWER.NS,CG Power and Industrial Solutions Limited,EQ,INE067A01029,01-MAR-1995
CHALET,CHALET.NS,Chalet Hotels Limited,EQ,INE427F01016,07-FEB-2019
CHAMBLFERT,CHAMBLFERT.NS,Chambal Fertilizers & Chemicals Limited,EQ,INE085A01013,14-JUN-1995
CHEMBOND,CHEMBOND.NS,Chembond Material Technologies Limited,EQ,INE995D01025,20-NOV-2019
CHEMBONDCH,CHEMBONDCH.NS,Chembond Chemicals Limited,EQ,INE0TGX01019,23-JUL-2025
CHEMCON,CHEMCON.NS,Chemcon Speciality Chemicals Limited,EQ,INE03YM01018,01-OCT-2020
CHEMFAB,CHEMFAB.NS,Chemfab Alkalis Limited,EQ,INE783X01023,25-APR-2018
CHEMPLASTS,CHEMPLASTS.NS,Chemplast Sanmar Limited,EQ,INE488A01050,24-AUG-2021
CHENNPETRO,CHENNPETRO.NS,Chennai Petroleum Corporation Limited,EQ,INE178A01016,07-JUN-2000
CHEVIOT,CHEVIOT.NS,Cheviot Company Limited,EQ,INE974B01016,20-JUN-2022
CHOICEIN,CHOICEIN.NS,Choice International Limited,EQ,INE102B01014,08-APR-2022
CHOLAFIN,CHOLAFIN.NS,Cholamandalam Investment and Finance Company Limited,EQ,INE121A01024,15-MAY-1996
CHOLAHLDNG,CHOLAHLDNG.NS,Cholamandalam Financial Holdings Limited,EQ,INE149A01033,25-SEP-2017
CIEINDIA,CIEINDIA.NS,CIE Automotive India Limited,EQ,INE536H01010,30-AUG-2007
CIFL,CIFL.NS,Capital India Finance Limited,EQ,INE345H01024,17-APR-2025
CIGNITITEC,CIGNITITEC.NS,Cigniti Technologies Limited,EQ,INE675C01017,13-OCT-2014
CINELINE,CINELINE.NS,Cineline India Limited,EQ,INE704H01022,13-JUN-2012
CINEVISTA,CINEVISTA.NS,Cinevista Limited,EQ,INE039B01026,02-MAY-2000
CIPLA,CIPLA.NS,Cipla Limited,EQ,INE059A01026,08-FEB-1995
CLEAN,CLEAN.NS,Clean Science and Technology Limited,EQ,INE227W01023,19-JUL-2021
CLEANMAX,CLEANMAX.NS,Clean Max Enviro Energy Solutions Limited,EQ,INE647U01026,02-MAR-2026
CLEDUCATE,CLEDUCATE.NS,CL Educate Limited,BE,INE201M01029,31-MAR-2017
CLSEL,CLSEL.NS,Chaman Lal Setia Exports Limited,EQ,INE419D01026,12-MAY-2021
CMPDI,CMPDI.NS,Central Mine Planning & Design Institute Limited,EQ,INE05HV01027,30-MAR-2026
CMSINFO,CMSINFO.NS,CMS Info Systems Limited,EQ,INE925R01014,31-DEC-2021
CNL,CNL.NS,Creative Newtech Limited,EQ,INE985W01018,05-AUG-2019
COALINDIA,COALINDIA.NS,Coal India Limited,EQ,INE522F01014,04-NOV-2010
COASTCORP,COASTCORP.NS,Coastal Corporation Limited,EQ,INE377E01024,08-OCT-2021
COCHINSHIP,COCHINSHIP.NS,Cochin Shipyard Limited,EQ,INE704P01025,11-AUG-2017
COCKERILL,COCKERILL.NS,John Cockerill India Limited,EQ,INE515A01019,20-APR-2026
COFFEEDAY,COFFEEDAY.NS,Coffee Day Enterprises Limited,EQ,INE335K01011,02-NOV-2015
COFORGE,COFORGE.NS,Coforge Limited,EQ,INE591G01025,30-AUG-2004
COHANCE,COHANCE.NS,Cohance Lifesciences Limited,EQ,INE03QK01018,09-MAR-2020
COLPAL,COLPAL.NS,Colgate Palmolive (India) Limited,EQ,INE259A01022,17-DEC-2007
COMFINTE,COMFINTE.NS,Comfort Intech Limited,EQ,INE819A01049,20-APR-2026
COMPINFO,COMPINFO.NS,Compuage Infocom Limited,BZ,INE070C01037,07-JUL-2016
COMPUSOFT,COMPUSOFT.NS,Compucom Software Limited,EQ,INE453B01029,02-MAR-2012
COMSYN,COMSYN.NS,Commercial Syn Bags Limited,EQ,INE073V01015,23-JAN-2024
CONCOR,CONCOR.NS,Container Corporation of India Limited,EQ,INE111A01025,07-MAY-1997
CONCORDBIO,CONCORDBIO.NS,Concord Biotech Limited,EQ,INE338H01029,18-AUG-2023
CONFIPET,CONFIPET.NS,Confidence Petroleum India Limited,EQ,INE552D01024,13-JUN-2019
CONSOFINVT,CONSOFINVT.NS,Consolidated Finvest & Holdings Limited,BE,INE025A01027,29-MAR-2005
CONTROLPR,CONTROLPR.NS,Control Print Limited,EQ,INE663B01015,24-JUN-2016
CORALFINAC,CORALFINAC.NS,Coral India Finance & Housing Limited,EQ,INE558D01021,25-MAR-1996
CORDSCABLE,CORDSCABLE.NS,Cords Cable Industries Limited,EQ,INE792I01017,13-FEB-2008
COROMANDEL,COROMANDEL.NS,Coromandel International Limited,EQ,INE169A01031,31-MAY-1995
CORONA,CORONA.NS,CORONA Remedies Limited,EQ,INE02ZQ01018,15-DEC-2025
COSMOFIRST,COSMOFIRST.NS,COSMO FIRST LIMITED,EQ,INE757A01017,25-MAY-1995
COUNCODOS,COUNCODOS.NS,Country Condo's Limited,EQ,INE695B01025,22-JAN-2009
CPCAP,CPCAP.NS,CP Capital Limited,EQ,INE521J01018,06-OCT-2010
CPEDU,CPEDU.NS,Career Point Edutech Limited,EQ,INE0P6P01016,05-SEP-2025
CPPLUS,CPPLUS.NS,Aditya Infotech Limited,EQ,INE819V01029,05-AUG-2025
CRAFTSMAN,CRAFTSMAN.NS,Craftsman Automation Limited,EQ,INE00LO01017,25-MAR-2021
CRAMC,CRAMC.NS,Canara Robeco Asset Management Company Limited,EQ,INE218I01013,16-OCT-2025
CREATIVEYE,CREATIVEYE.NS,Creative Eye Limited,EQ,INE230B01021,20-DEC-2000
CREDITACC,CREDITACC.NS,CREDITACCESS GRAMEEN LIMITED,EQ,INE741K01010,23-AUG-2018
CREST,CREST.NS,Crest Ventures Limited,EQ,INE559D01011,27-DEC-2006
CRISIL,CRISIL.NS,CRISIL Limited,EQ,INE007A01025,28-JUN-1995
CRIZAC,CRIZAC.NS,Crizac Limited,EQ,INE0S4R01014,09-JUL-2025
CROMPTON,CROMPTON.NS,Crompton Greaves Consumer Electricals Limited,EQ,INE299U01018,13-MAY-2016
CROWN,CROWN.NS,Crown Lifters Limited,EQ,INE491V01019,08-FEB-2022
CSBBANK,CSBBANK.NS,CSB Bank Limited,EQ,INE679A01013,04-DEC-2019
CSLFINANCE,CSLFINANCE.NS,CSL Finance Limited,EQ,INE718F01018,21-JUL-2022
CTE,CTE.NS,Cambridge Technology Enterprises Limited,BE,INE627H01017,07-FEB-2007
CUB,CUB.NS,City Union Bank Limited,EQ,INE491A01021,25-AUG-1998
CUBEXTUB,CUBEXTUB.NS,Cubex Tubings Limited,EQ,INE144D01012,24-APR-1996
CUMMINSIND,CUMMINSIND.NS,Cummins India Limited,EQ,INE298A01020,29-MAR-1995
CUPID,CUPID.NS,Cupid Limited,EQ,INE509F01029,16-SEP-2016
CURAA,CURAA.NS,Cura Technologies Limited,BE,INE117B01020,21-MAR-2025
CYBERMEDIA,CYBERMEDIA.NS,Cyber Media (India) Limited,EQ,INE278G01037,10-JUN-2005
CYBERTECH,CYBERTECH.NS,Cybertech Systems And Software Limited,EQ,INE214A01019,27-JAN-1999
CYIENT,CYIENT.NS,Cyient Limited,EQ,INE136B01020,30-SEP-1998
CYIENTDLM,CYIENTDLM.NS,Cyient DLM Limited,EQ,INE055S01018,10-JUL-2023
DABUR,DABUR.NS,Dabur India Limited,EQ,INE016A01026,28-APR-1999
DAICHI,DAICHI.NS,Dai-Ichi Karkaria Limited,EQ,INE928C01010,20-APR-2026
DALBHARAT,DALBHARAT.NS,Dalmia Bharat Limited,EQ,INE00R701025,22-JAN-2019
DALMIASUG,DALMIASUG.NS,Dalmia Bharat Sugar and Industries Limited,EQ,INE495A01022,17-JAN-1996
DAMCAPITAL,DAMCAPITAL.NS,Dam Capital Advisors Limited,EQ,INE284H01025,27-DEC-2024
DAMODARIND,DAMODARIND.NS,Damodar Industries Limited,EQ,INE497D01022,04-JUL-2016
DANGEE,DANGEE.NS,Dangee Dums Limited,EQ,INE688Y01022,13-NOV-2020
DATAMATICS,DATAMATICS.NS,Datamatics Global Services Limited,EQ,INE365B01017,07-MAY-2004
DATAPATTNS,DATAPATTNS.NS,Data Patterns (India) Limited,EQ,INE0IX101010,24-DEC-2021
DAVANGERE,DAVANGERE.NS,Davangere Sugar Company Limited,EQ,INE179G01029,25-JAN-2024
DBCORP,DBCORP.NS,D.B.Corp Limited,EQ,INE950I01011,06-JAN-2010
DBEIL,DBEIL.NS,Deepak Builders & Engineers India Limited,EQ,INE0OPA01019,28-OCT-2024
DBL,DBL.NS,Dilip Buildcon Limited,EQ,INE917M01012,11-AUG-2016
DBOL,DBOL.NS,Dhampur Bio Organics Limited,BE,INE0I3401014,08-SEP-2022
DBREALTY,DBREALTY.NS,Valor Estate Limited,EQ,INE879I01012,24-FEB-2010
DBSTOCKBRO,DBSTOCKBRO.NS,DB (International) Stock Brokers Limited,EQ,INE921B01025,29-FEB-2012
DCAL,DCAL.NS,Dishman Carbogen Amcis Limited,EQ,INE385W01011,21-SEP-2017
DCBBANK,DCBBANK.NS,DCB Bank Limited,EQ,INE503A01015,27-OCT-2006
DCI,DCI.NS,Dc Infotech And Communication Limited,BE,INE0A1101019,19-OCT-2022
DCM,DCM.NS,DCM  Limited,EQ,INE498A01018,29-MAR-1995
DCMFINSERV,DCMFINSERV.NS,DCM Financial Services Limited,BE,INE891B01012,21-MAY-1997
DCMNVL,DCMNVL.NS,DCM Nouvelle Limited,EQ,INE08KP01019,16-JUL-2019
DCMSHRIRAM,DCMSHRIRAM.NS,DCM Shriram Limited,EQ,INE499A01024,12-APR-1995
DCMSIL,DCMSIL.NS,DCM Shriram International Limited,BE,INE0OU201013,17-FEB-2026
DCMSRIND,DCMSRIND.NS,DCM Shriram Industries Limited,EQ,INE843D01027,24-DEC-2021
DCW,DCW.NS,DCW Limited,EQ,INE500A01029,25-MAY-1995
DCXINDIA,DCXINDIA.NS,DCX Systems Limited,EQ,INE0KL801015,11-NOV-2022
DDEVPLSTIK,DDEVPLSTIK.NS,Ddev Plastiks Industries Limited,EQ,INE0HR601026,15-JAN-2025
DECCANCE,DECCANCE.NS,Deccan Cements Limited,EQ,INE583C01021,02-AUG-2007
DECNGOLD,DECNGOLD.NS,Deccan Gold Mines Limited,EQ,INE945F01025,20-APR-2026
DEEDEV,DEEDEV.NS,DEE Development Engineers Limited,EQ,INE841L01016,26-JUN-2024
DEEPAKFERT,DEEPAKFERT.NS,Deepak Fertilizers and Petrochemicals Corporation Limited,EQ,INE501A01019,17-JAN-2003
DEEPAKNTR,DEEPAKNTR.NS,Deepak Nitrite Limited,EQ,INE288B01029,29-SEP-2010
DEEPINDS,DEEPINDS.NS,Deep Industries Limited,EQ,INE0FHS01024,27-APR-2021
DELHIVERY,DELHIVERY.NS,Delhivery Limited,EQ,INE148O01028,24-MAY-2022
DELPHIFX,DELPHIFX.NS,DELPHI WORLD MONEY LIMITED,EQ,INE726L01027,28-JUN-2011
DELTACORP,DELTACORP.NS,Delta Corp Limited,EQ,INE124G01033,02-NOV-2007
DELTAMAGNT,DELTAMAGNT.NS,Delta Manufacturing Limited,EQ,INE393A01011,18-OCT-1995
DEN,DEN.NS,Den Networks Limited,EQ,INE947J01015,24-NOV-2009
DENORA,DENORA.NS,De Nora India Limited,EQ,INE244A01016,07-AUG-1997
DENTA,DENTA.NS,Denta Water and Infra Solutions Limited,EQ,INE0R4L01018,29-JAN-2025
DEVIT,DEVIT.NS,Dev Information Technology Limited,EQ,INE060X01034,15-FEB-2022
DEVX,DEVX.NS,Dev Accelerator Limited,EQ,INE0VOV01021,17-SEP-2025
DEVYANI,DEVYANI.NS,Devyani International Limited,EQ,INE872J01023,16-AUG-2021
DGCONTENT,DGCONTENT.NS,Digicontent Limited,EQ,INE03JI01017,18-JUN-2019
DHAMPURSUG,DHAMPURSUG.NS,Dhampur Sugar Mills Limited,EQ,INE041A01016,29-MAR-1995
DHANBANK,DHANBANK.NS,Dhanlaxmi Bank Limited,EQ,INE680A01011,01-APR-2004
DHANUKA,DHANUKA.NS,Dhanuka Agritech Limited,EQ,INE435G01025,29-JUN-2011
DHARMAJ,DHARMAJ.NS,Dharmaj Crop Guard Limited,EQ,INE00OQ01016,08-DEC-2022
DHRUV,DHRUV.NS,Dhruv Consultancy Services Limited,EQ,INE506Z01015,25-NOV-2021
DHUNINV,DHUNINV.NS,Dhunseri Investments Limited,EQ,INE320L01011,18-MAR-2011
DIACABS,DIACABS.NS,Diamond Power Infrastructure Limited,EQ,INE989C01038,15-SEP-2023
DIAMINESQ,DIAMINESQ.NS,Diamines & Chemicals Limited,EQ,INE591D01014,25-SEP-2023
DIAMONDYD,DIAMONDYD.NS,Prataap Snacks Limited,EQ,INE393P01035,05-OCT-2017
DICIND,DICIND.NS,DIC India Limited,EQ,INE303A01010,30-AUG-1995
DIFFNKG,DIFFNKG.NS,Diffusion Engineers Limited,EQ,INE184O01015,04-OCT-2024
DIGIDRIVE,DIGIDRIVE.NS,Digidrive Distributors Limited,EQ,INE0PSC01024,10-JAN-2024
DIGISPICE,DIGISPICE.NS,DiGiSPICE Technologies Limited,EQ,INE927C01020,27-MAY-2008
DIGITIDE,DIGITIDE.NS,Digitide Solutions Limited,EQ,INE0U4701011,11-JUN-2025
